식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량
복어튀김,100g,320,13.84,19.27,22.88,0.6,284.0,30.03,2.95,0.15,100g
북어강정,100g,379,19.22,22.07,25.82,12.17,709.0,53.82,3.09,0.16,100g
양파링튀김,100g,411,3.86,25.23,43.58,5.43,776.0,0.0,4.19,0.16,100g
쥐포튀김,100g,357,9.62,16.49,42.5,7.96,717.0,28.7,2.29,0.1,100g
치즈볼,100g,333,9.56,20.0,28.66,5.48,532.0,23.23,7.33,0.48,100g
치즈스틱,100g,329,12.59,21.85,20.57,1.84,596.0,22.2,7.53,0.14,100g
치킨가스,100g,296,13.96,16.96,22.01,2.08,390.0,36.48,4.21,0.13,200g
조기조림,100g,128,13.7,6.27,4.27,1.5,590.0,76.06,1.67,0.03,300g
콩조림(콩자반),100g,271,19.3,4.2,39.1,,1067.0,,0.0,0.0,100g
감자튀김,100g,269,5.54,17.74,21.78,3.56,334.0,11.18,3.37,0.08,587g
고추튀김,100g,202,7.6,12.6,14.6,2.3,249.0,35.91,2.7,0.1,100g
김말이튀김,100g,195,2.05,7.2,30.51,1.88,460.0,0.0,1.04,0.08,
깐풍새우,100g,240,8.15,13.86,20.56,7.2,531.0,61.48,2.04,0.1,100g
닭모래집튀김,100g,312,18.73,17.73,19.4,1.2,215.0,167.94,2.73,0.13,150g
닭튀김,100g,301,21.73,16.57,16.27,0.5,415.0,59.31,4.33,0.13,300g
주꾸미삼겹살,100g,161,10.11,8.66,10.66,5.41,280.0,70.76,2.29,0.03,100g
해물볶음,100g,105,9.55,3.83,8.05,1.85,439.0,82.4,0.53,0.03,400g
닭볶음탕,100g,107,6.66,4.21,10.62,4.29,359.0,45.41,1.08,0.06,1254g
동태조림,100g,110,16.32,1.88,6.96,4.08,557.0,87.38,0.44,0.08,250g
북어조림,100g,182,20.83,3.33,17.14,8.2,766.0,99.63,0.67,0.05,100g
마파두부,100g,129,7.42,9.0,4.62,2.02,366.0,4.92,1.66,0.03,742g
머위나물볶음,100g,72,2.33,4.67,5.07,1.2,479.0,0.0,0.53,0.0,150g
버섯볶음,100g,91,3.0,5.53,7.33,0.8,343.0,0.0,0.93,0.0,150g
화양적,100g,182,9.05,9.85,14.23,0.81,531.0,82.17,2.55,0.06,150g
감바스,100g,224,11.48,11.38,19.0,1.46,822.0,35.59,1.96,0.01,641g
곱창볶음,100g,235,17.2,11.13,16.33,3.67,520.0,31.83,3.27,0.07,150g
난자완스,100g,173,10.81,10.17,9.57,0.25,352.0,38.38,2.3,0.12,200g
두부전,100g,170,13.64,10.58,5.0,0.02,211.0,2.19,1.34,0.03,150g
미나리전,100g,151,3.49,5.08,22.82,1.16,166.0,7.92,0.82,0.04,150g
